question,answer,unit,category,funFact
Number of districts in the Dhaka Division,13,districts,Desh,Dhaka is the most populated and administratively dense division in BD.
Height of the Shapla Square monument in Motijheel (meters),21,meters,Desh,"The sculpture represents a water lily, the national flower of Bangladesh."
Total length of the Bangabandhu Tunnel under Karnaphuli River (meters),3315,meters,Desh,It is the first under-river road tunnel in South Asia.
How many gates are in the Curzon Hall of Dhaka University?,14,gates,Desh,The building is a prime example of Indo-Saracenic architecture.
Total number of pillars on the Mayor Hanif Flyover,212,pillars,Desh,"It is the longest flyover in Bangladesh, stretching 11 kilometers."
Year the first ever bridge over the Jamuna river (rail/road) opened,1998,year,Desh,It significantly shortened the travel time between Dhaka and North Bengal.
Number of 'Bir Uttom' awardees from the 1971 war,68,people,Desh,This is the second-highest gallantry award for individual bravery.
Year the first internet connection was established in Bangladesh,1996,year,Desh,The first connection was made via VSAT through an ISP called Information Services Network.
Number of days the Liberation War of Bangladesh lasted in 1971,267,days,Desh,The war began on March 26 and ended with victory on December 16.
How many National Nationalized Banks (Commercial) are in BD as of 2024?,6,banks,Desh,"These include Sonali, Janata, Agrani, Rupali, BASIC, and BDBL."
Number of tea gardens in the Moulvibazar district,92,gardens,Desh,Moulvibazar produces the vast majority of tea in Bangladesh.
Total length of the Dhaka-Chittagong Highway in kilometers,248,km,Desh,This is the busiest and most economically important highway in the country.
Number of administrative divisions in Bangladesh (as of 2026),8,divisions,Desh,"The newest division is Mymensingh, established in 2015."
How many districts does the Khulna division have?,10,districts,Desh,Khulna is the third-largest division and home to the Sundarbans.
Number of galleries in the Muktijuddho (Liberation War) Museum,4,galleries,Desh,The museum is now located in a state-of-the-art building in Agargaon.
Length of the Hardinge Bridge in feet,5894,feet,Desh,This historic railway bridge over the Padma was completed in 1912.
Total length of the Lalon Shah Bridge in meters,1800,meters,Desh,It is a major road bridge connecting Pabna and Kushtia over the Padma.
Number of gold medals Bangladesh has won in Asian Games (up to 2024),12,medals,Desh,The majority of these medals have come from the sport of Kabaddi.
Number of seats in the VIP cabin of a standard domestic ATR 72-600 plane,8,seats,Desh,Biman and private airlines like Air Astra use this aircraft for short hauls.
How many hours does the fast passenger launch take from Dhaka to Barishal?,8,hours,Desh,This is the classic overnight journey through the delta's river system.
